"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","1676310877","1945835371","2308707373","2588749896","2691300679","2905605500","3076523500","3301346400","3572185600","3663174300","3706611800","3967812100","4046850300","4096952000","4409259400","4593654700","4550246800","4600777500","4936345700","4917432700","4972872400","5126511500","5220621700","4610971000","4484932100","4636040100","4587788200","4882851000","4805380900","4775413300","4857532500","5199917300","5324563751.97342","5205696040.09757","3841188323.5657","4768167987.77163","5174316632.08721","5394934974.89874","",
"Africa Eastern and Southern","AFE","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","418236762600","378788779600","487122375000","530146376400","537643271700","598019077900","630057371400","717171116900","745319967200","904747846400","1034691726300","1039103183900","1171612605100","1237231635500","1270940547900","1289385894400","1318530066900","1353431600000","1369526989300","1423097453800","1389639000000","1101444000000","1032712000000","1060707653200","",
"Africa Western and Central","AFW","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","413870934690","395660608520","395660608520","412278359730","437015070240","452310595470","465427610620","484429850040","514120024990","514334009260","496588978370","501511959400","472232283300","358974843500","363782821300","418350244600","475013148600","509566922500","533471453100","545109078000","561760112000","585387734200","665385000000","685280011500","760318172800","874593994100","975609600400","1112292505500","1236535578300","1247169784300","1302025000000","1347232000000","1462314000000","1534766000000","1608781000000","1623961000000","1582062000000","1579733000000","1558938000000","1547990000000","1460711000000","1478228000000","1523236000000","1538488000000","",
"Albania","ALB","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","553263917790","585052444710","602303282380","608958361800","601336659380","612044324280","646546751200","641452980110","632344093420","694544929840","628037806540","452173770300","419675539900","459794052500","497970139300","564311381100","615663713600","548433334100","596856837200","673796480100","720599843000","780361440800","815762726100","860863289800","908337041400","958535599900","1015114688100","1075851634300","1156540952600","1195334682600","1239645000000","1271199000000","1289214976300","1302133136500","1325238823000","1354642246300","1399548375100","1452767583700","1511159333900","1542328015798.7","1491219643297.61","1624975385392.04","1703407882429.73","1770464667366.37","",
"Andorra","AND","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","763613110","799117037","864243026","931554311","983896388","989231130","1021913220","1050920999","1066295975","1066739098","1090300459","1088856089","1102428257","1121942541","1141965700","1168475669","1206489943","1273415414","1338287349","1402886938","1455935530","1493003700","1506876900","1491333700","1526874900","1568978500","1641931900","1790816900","1848029800","1923782000","1991660000","2153370000","2251270000","2447000000","2646080000","2788910000","2923020000","2968420000","2803400000","2654740000","2602310000","2602100000","2472660000","2384940000","2444670000","2479730000","2571720000","2580620000","2621620000","2674460000","2375350000","2572190000","2818210000","2891020000","",
"Arab World","ARB","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP (constant LCU)","NY.GDP.MKTP.KN","","","","","","","","","","","52947805184","72333255683","100600829860","177681341667","203441655907","216110784412","251827103646","305817147855","300955868320","363926589357","450813243406","471817428886","440114524020","419227477836","436067641371","420393292402","357510289616","369601222219","359921707337","404328456289","478433717266","482548639300","498689625200","504979053600","539803159300","575904581700","609297856400","659201779800","661126611700","680313918400","754146375700","764697524800","783306108800","852241282600","933770404900","979106276500","1075424091800","1109669790900","1145088633800","1085052531000","1102444296018.82","1170973576383.92","1192337764325.82","1252617111281.58","1304797280104.77","1393350908042.75","1470841989977.81","1481653689266.24","1501121342763.95","1517758993229.57","1442522884075.07","1505341225811.69","1618387791171.23","1676952495939.62","",
"Argentina","ARG","GDP (constant LCU)","NY.GDP.MKTP.KN","182932009390","192861271430","191218051890","181067821330","199410530600","220487093700","219032482640","226023992090","236924000870","259857121160","267771442210","282922301410","287529454900","295614075960","311972780690","311884142660","305589536220","326779566190","312054471110","343955061570","349178995840","331057342230","328621888570","342913961040","348300243340","330226858890","350546962680","360028798200","356104724290","330618488450","322461423550","351912181900","379844477800","411018234600","435006083700","422629248800","445986656500","482160842800","500724897600","483773071300","479956106900","458795611600","408812193300","444939093600","485115195200","528055942500","570549404200","621942502600","647176159700","608872876400","670523679400","710781597200","703485989500","720407105300","702306046000","721487146600","706477848600","726389947800","707377443000","693223803600","624591286200","689809934000","726162087500","714463604500","",
