"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","27970.6808997013","32891.6203958823","38912.328681465","42829.6063398574","42887.2034643762","44093.8069078548","44584.066372002","44803.5068195698","46036.28584316","45901.5638117912","44646.6773466954","45976.432486298","45752.4539010299","45694.8214903133","48673.7691526471","50237.3680814532","49419.4539175011","49402.7306502878","51886.162206479","50365.4703743535","50026.3809667522","51188.3325012481","51731.8360632995","45381.7861501516","44039.8682220782","45189.5400181302","44066.7390260302","46206.3023420866","44991.2543185372","44255.3083239116","44676.4143221095","47821.9276222008","48890.4740879772","47669.8995457778","35374.2927198072","44272.6832662175","48218.4011936186","50251.3527035343","",
"Africa Eastern and Southern","AFE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20776.4515002662","18673.98179292","22786.028114637","23320.5135131675","22819.539376963","24504.3920631741","24781.9006411792","27679.4756257195","28143.7377008968","32940.5271756628","36582.1125191623","35406.6213245682","38338.0661520206","39124.7894392586","38757.0223828157","38111.6956952052","37997.3144825227","37923.0033062068","37273.100608254","37592.2682041301","35568.8588637036","27535.8163810913","25449.5187418113","25587.1129784104","",
"Africa Western and Central","AFW","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","50882.4007422295","46903.6322483966","45209.8403089338","45390.1939186719","46363.1358349538","46252.6889403136","45902.6486268979","46145.5898946242","47335.0750836158","45765.1084951972","42712.3345888137","41710.8786779655","38010.5626482649","27985.5824001229","27455.7962919189","30537.0090376647","33520.1505641144","34758.019606951","35190.8722526068","34792.9342988728","34687.536651269","34954.3478650292","38400.0783947136","38190.5378051097","40876.391510021","45336.5141735119","48743.2426198006","53530.7765297125","57303.6446571855","55640.5270889872","55893.3153608151","55628.5580455681","58080.4351713287","58655.823939964","59231.7912648202","57673.5794468019","54211.6370895865","52248.7650752829","49810.8534146315","47813.4295571435","43667.0125244192","42806.9511125325","42745.4682301507","41863.726127626","",
"Albania","ALB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","207060.081949942","214614.976621904","216322.968604428","214123.391960506","207041.266761901","206439.614471583","213901.695441229","208020.476069406","201233.761577374","215166.417077377","191093.802099593","138415.31604419","129248.690853421","142470.766467315","155250.054652543","177023.092248408","194336.269098207","174200.884260331","190778.684302212","216739.979535367","233277.288609002","255005.661706054","267374.648427898","283214.488211669","300084.356308469","318293.122268168","339214.284053016","362237.534094923","392405.068682875","408309.794949239","425553.059864656","437560.645670945","444495.425391179","449772.627778323","458702.359970427","470247.105064285","486613.08316363","505581.807453531","527202.060685688","540373.091989534","525475.33124476","577940.404511788","613246.43703083","644749.716080998","",
"Andorra","AND","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","38224.6138058768","37268.7732954016","37646.1657010933","37986.9637075399","37653.8992728664","35618.4470528931","34716.4431308602","33794.9319548509","32573.5749198106","31094.8259196642","30470.6405175787","29294.7372541634","28439.4865596946","27657.8957475656","27014.0680812812","26662.3084768967","26380.5908733109","26722.6704299834","27082.0655050996","27714.0841169498","27680.9614616803","26346.9691354757","25031.1777408638","23570.2000885068","23631.4446232898","24549.0439979972","25661.6013378345","27678.7774343122","28265.1157811018","29276.8528382286","30321.38235518","32700.1457814493","33850.6300183442","35215.7269090176","35601.4799865456","36022.6553519071","36728.2779418232","36254.6258412008","33575.6632133661","31646.2426091932","32244.3188858325","33453.3252767314","32181.8465783377","31717.1582839056","33153.9118759917","34357.6634245019","35628.7665729209","34985.290728414","34879.5934115644","34972.1473965008","30697.2085810287","32823.6179878516","35358.0076532213","35755.1696843772","",
"Arab World","ARB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","184785.873970461","215902.765099529","261291.355275393","407153.41159581","415962.10062218","398099.651495056","408899.1820396","430601.622698389","371883.772764231","399037.937475466","443844.878808703","428981.48291002","377336.97199002","339371.635212356","333896.613290546","305094.663154587","243638.020623109","234780.13714456","214011.342295818","225900.62317422","252043.344431099","240477.617303872","235817.161150596","227253.788927826","231855.485596524","236543.956286335","234565.098838758","233974.387753291","217445.745737186","208301.299353431","215866.662573438","205365.66184784","197963.243468376","203279.671705637","210832.549644195","209892.894749817","214694.075143239","197287.431255539","181683.274532801","161777.716996036","160476.025201587","164820.509987267","161313.150593202","162824.914039938","161896.767034033","163822.70218252","164614.029283159","160643.775823125","160604.403924331","160681.086138375","153442.937266616","157213.298108656","160634.390646374","159957.299247151","",
"Argentina","ARG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","8973.39377942117","9305.15792755052","9074.27723656258","8452.54013767812","9160.10754151701","9971.09360899602","9754.76647368009","9913.74214567364","10234.0403639079","11053.6524592948","11213.9951098752","11663.4322222904","11667.1655603675","11802.8434458909","12252.797610386","12053.9094415896","11627.2066707447","12238.1077305448","11501.2772338271","12476.2004995122","12465.5159184789","11630.7553081425","11361.4614806767","11667.1800053159","11663.2340575037","10885.4845197563","11376.9696942553","11505.5457151949","11205.1215596391","10245.081379388","9844.37654607638","10590.1013665422","11273.5148742368","12034.7155571839","12567.5299177422","12051.0124830268","12558.1251346484","13412.8086702184","13766.4428257772","13147.9073878122","12897.1976475295","12193.960014432","10749.913002718","11579.6332537847","12497.8422562539","13465.0479033355","14399.7715467738","15542.0492806977","16009.6425458367","14903.3262773746","16239.8858970933","17032.5989859734","16685.4192099986","16917.9326391585","16323.560966604","16594.6810374181","16092.7747508315","16401.1760555592","15840.9878454051","15414.0625722301","13820.8481574103","15223.4652234788","15991.9754829468","15689.255415446","",
