"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35833.6931711186","27699.7239446895","25523.7074192178","25710.4476102245","",
"Africa Western and Central","AFW","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34293.5366490381","34433.9141405181","36186.6939000574","39526.1501309406","41563.4959345894","46569.1236477934","47502.7149191713","51173.7735037258","50440.9006644529","50122.3397755191","52848.6242167462","54118.9782357712","55624.3909156427","55160.2639556074","51718.7125240935","49252.5367300408","45917.3594289242","42802.1303631996","39902.9272423549","38908.6101625207","39063.5911256329","37921.5005911715","",
"Albania","ALB","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177978.988287871","196046.731902857","221500.273841826","240088.527076072","263053.67365625","273947.632168883","290613.115348001","307044.078189228","324514.576465071","348918.814406367","372074.527239143","394359.617646233","401906.577281109","421301.528550601","437673.239040126","441220.729206636","457320.568674604","462809.604408342","475660.728106657","494199.264413734","506770.148313142","526589.005531399","533583.388829706","517150.859008465","570176.134961144","602731.851385503","636523.872114245","",
"Andorra","AND","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215190.442874796","199593.886656802","203193.388075763","211808.290534031","213325.067858693","219653.286781302","204324.853175777","184256.595072843","163481.655298036","160431.191538843","164888.817352197","161453.978303137","163035.153088927","162181.79004028","164549.61514483","165467.283932936","161734.303578414","161132.741349172","161455.370838904","152731.064531751","156952.348979182","160653.429072736","161273.552493272","",
"Argentina","ARG","GNI per capita (constant LCU)","NY.GNP.PCAP.KN","9192.7841501016","9553.07022687615","9301.20787950688","8663.340674073","9403.85066692938","10227.7829776654","10144.3248002722","9949.15425146708","10084.9672571295","10978.0053821792","10803.5441987757","11779.1098066849","11492.6262096515","11842.2174329867","12292.780947835","12211.9106053809","11630.6784837645","12145.1305072103","11430.6319575821","12366.9528742402","12355.818315605","11359.7990174312","10710.7752475042","11035.6625728205","11085.1655007584","10334.8014044483","10895.2104616129","11007.4484093183","10750.6248598418","9434.33570505859","9446.14206911058","10280.4069234664","11066.2229455047","11888.0348167964","12393.7302970592","11841.1732786382","12312.0880480573","13136.8887652765","13437.2526268462","12815.6758722944","12565.9121252856","11855.2669888215","10180.3922739965","11103.6057719108","11109.1159603758","11948.9767608124","13926.1184413827","15132.0557175095","15603.1135851167","14436.5381703545","15667.9964927461","16516.0369254585","16266.9669619667","16534.9548489349","15973.6057417474","16269.809609933","15719.9974905131","15954.3069324655","15239.9916391114","14782.9153444842","13433.4502414551","14899.3179553199","15675.6653596219","15342.1424821124","",
