"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1399985805994.88","1108000370073.84","1035722490618.67","1065820460884.88","",
"Africa Western and Central","AFW","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","594228080700","617872238370.185","673087813512.587","762505325886.147","831904967346.173","967639376432.217","1025044696804.15","1147048516639.43","1175011953820.81","1213880467747.12","1330590634262.96","1416056619305.46","1510801232425.47","1553191570088.67","1509310807900.5","1489142518374.37","1437082715237.75","1385746021454.98","1334798086370.41","1343608817925.93","1392032202606.07","1393611582104.5","",
"Albania","ALB","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560327867225.926","613338082160.045","688595178313.443","741639942528.216","804989749673.668","835816965223.583","883352275221.629","929403694990.024","977271428335.067","1044155951295.33","1105067671167.22","1162301622123.39","1176589141215.42","1227260200000","1271526105693.18","1279717044211.66","1323985119805.3","1337105079334.56","1370237286439.03","1421366998579.6","1456182230061.44","1509402087319.07","1522948906147.25","1467596048086.31","1603144852681.66","1674201633543.15","1747876730157.3","",
"Andorra","AND","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","801280981184.162","789758280164.689","851879542191.948","938091929101.637","995116643296.554","1100265278816.22","1149252720542.34","1161307408528.19","1096480944019.93","1102136296018.82","1171458868653.74","1193378685020.76","1254234486802.86","1307094405922.24","1399533475065.57","1478465901332.76","1491711872122.02","1506059554701.05","1525072720039.56","1435830541443.44","1502842598232.71","1618579602878.95","1690751767224.89","",
"Argentina","ARG","GNI (constant LCU)","NY.GNP.MKTP.KN","187404511359.258","197999570169.618","196000056486.808","185583528234.493","204716685112.738","226163170477.63","227779583622.558","226831354779.299","233472871538.459","258078755886.094","257970561137.318","285728316635.596","283228049892.049","296600237037.672","312990810478.941","315972281678.061","305680783392.31","324296906503.079","310137712312.968","340943225259.875","346106190906.128","323344853480.403","309801269481.926","324352822517.742","331037328269.541","313521093052.762","335703006839.007","344442455851.667","341660577378.198","304454956952.489","309416894447.721","341620944506.424","372860081602.381","406008688784.195","428990272093.687","415270183705.306","437248946336.48","472242131724.406","488751308580.907","471548718336.146","467627652775.785","446052345782.688","387153690744.718","426648079396.729","431210511952.206","468600500394.683","551782266388.088","605535887350.371","630742572825.568","589802327174.882","646911112782.069","689225121483.753","685843322566.656","704098970781.804","687249547558.948","707362707648.773","690112810192.741","706598608575.43","680540028325.508","664838925843.123","607084013141.081","675122081899.799","711799107785.838","698656636549.568","",
"Armenia","ARM","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1283691506135.46","1415355403499.36","1500439112536.24","1600303951283.69","1668282153902.4","1721367481034.49","1821549821525.38","1994052887809.87","2268528226718.4","2585308497066.37","2878193797218.37","3280259547478.41","3731505611693.71","4274066907370.84","4594277299875.52","3867394778118.2","3982346170093.22","4115049031183.47","4436421190500","4671356210825.27","4764334124138.92","4892114841628.65","4824764688838.2","5245050536755.4","5421948713535.03","5820461806679.97","5249668980977.85","5483266083908.41","6185636221824.19","6696718573295.52","",
"American Samoa","ASM","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI (constant LCU)","NY.GNP.MKTP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
